TID,EN,AR,CN,CNT,DE,ES,FA,FI,FR,ID,IT,JP,KR,MS,NL,NO,PT,RU,TH,TR,VI,PL
TID_DIAMOND_PACK_CHEST,Chest of Gems,صندوق جواهر,一大箱宝石,一大箱寶石,Juwelentruhe,Cofre de gemas,صندوق جواهرات,Jalokiviarkku,Coffre de gemmes,Peti Permata,Cassa di gemme,エメラルドの宝箱,보석 금고,Peti Permata,Bak edelstenen,Kiste med juveler,Baú de Gemas,Сундук кристаллов,หีบอัญมณี,Taş Sandığı,Hòm Ngọc,Skrzynia klejnotów
TID_DIAMOND_PACK_POCKET,Pocketful of Gems,ملء جيب من الجواهر,一捧宝石,一小包寶石,Juwelentasche,Puñado de gemas,یک جیب پر از جواهر,Taskullinen jalokiviä,Poignée de gemmes,Saku Penuh Permata,Manciata di gemme,ひとつまみのエメラルド,보석 한 줌,Saku Penuh Permata,Handjevol edelstenen,En håndfull juveler,Punhado de Gemas,Кошель кристаллов,กระเป๋าอัญมณี,Bir Cep Dolusu Taş,Nắm Ngọc,Garść klejnotów
TID_DIAMOND_PACK_STORAGE,Storage of Gems,مخزون الجواهر,一仓库宝石,一倉庫寶石,Juwelenlager,Almacén de gemas,مخزن جواهر,Jalokivivarasto,Stock de gemmes,Segudang Permata,Deposito di gemme,エメラルドの宝庫,보석 저장소,Penyimpanan Permata,Opslag van edelstenen,Juvellagring,Depósito de gemas,Хранилище с кристаллами,คลังอัญมณี,Taş Deposu,Kho chứa Ngọc,Magazyn klejnotów
TID_DIAMOND_PACK_BOWL,Bowl of Gems,وعاء جواهر,一碗宝石,一碗寶石,Juwelenschüssel,Bol de gemas,ظرفی از جواهر,Jalokivikulho,Bol de gemmes,Mangkuk Penuh Permata,Ciotola di gemme,エメラルドの皿,보석 그릇,Semangkuk Permata,Schaal edelstenen,Bolle med juveler,Bandeja de gemas,Чаша кристаллов,ชามอัญมณี,Taş Kâsesi,Bát Ngọc,Misa klejnotów
TID_DIAMOND_PACK_HELM,Helm of Gems,خوذة جواهر,一头盔宝石,一頭盔寶石,Juwelenhelm,Casco de gemas,کلاهخودی از جواهر,Jalokivikypärä,Heaume de gemmes,Helm Penuh Permata,Elmo con gemme,エメラルドの兜,보석 투구,Topi Besi Permata,Helm edelstenen,Hjelm med juveler,Capacete de gemas,Шлем кристаллов,หมวกเหล็กอัญมณี,Taş Miğferi,Mũ giáp Ngọc,Hełm klejnotów
TID_DIWALI_2024,Festival Lantern,فانوس المهرجان,节日彩绘灯,節日彩繪燈,Festlaterne,Linterna de festival,فانوس جشنواره,Juhlalyhty,Lanterne du Festival,Lentera Festival,Lanterna della festa,七色のランタン,축제 등불,Pesta Lantera,Festivallantaarn,Festivallykt,Lanterna de festival,Фестивальный фонарь,โคมไฟงานเทศกาล,Festival Feneri,Đèn lồng lễ hội,Festiwalowa latarnia
TID_EVENT_TITLE_HAPPYCLASHOWEEN,Happy Clash-O-Ween!,احتفال Clash-O-Ween سعيد!,Clash万圣节快乐！,Clash萬聖節快樂！,Frohes Clash-o-ween!,¡Feliz Clash-O-Ween!,کلش‌وین مبارک!,Hauskaa Clashin halloweenia!,Joyeux Clash-O-Ween !,Clash-O-Ween Meriah!,Buon Clash-O-Ween!,ハッピークラッシュウィン！,즐거운 클래시 할로윈 되세요!,Selamat Clash-O-Ween!,Fijne Clash-O-Ween!,Gledelig clash-o-ween!,Feliz Halloween do Clash!,Празднуем Clash-Хеллоуин!,สุขสันต์ Clash-O-Ween!,Clash-O-Ween Kutlu Olsun!,Halloween Clash vui vẻ!,Wesołego clash-o-ween!
TID_EVENT_WORLDCHAMPOFFER,World Championship Offer,عرض بطولة العالم,全球锦标赛特惠,全球錦標賽特惠,World-Championship-Angebot,Oferta del campeonato mundial,پیشنهاد قهرمانی جهان,Maailmanmestaruustarjous,Offre du Championnat du monde,Penawaran Kejuaraan Dunia,Offerta per il Torneo mondiale,世界選手権セール,월드 챔피언십 특별 상품,Tawaran Kejuaraan Dunia,Wereldkampioenschapsaanbieding,World Championship-tilbud,Oferta do Mundial,Акция к Чемпионату мира,ข้อเสนอศึกชิงแชมป์โลก,Dünya Şampiyonası Teklifi,Ưu đãi Giải Vô địch Thế giới,Oferta z okazji mistrzostw świata
TID_CHAINOFFER_DESCRIPTION,Each step you claim unlocks the next!,كل خطوة تطالب بعناصرها تفتح التالية!,每领取一级即可解锁下一级！,每領取一階就會解鎖下一階！,"Fordere eine Belohnung ein, um die nächste Stufe freizuschalten!",Cada oferta que reclames desbloqueará la siguiente.,هر مرحله‌ای که مطالبه می‌کنید، قفل بعدی را باز می‌کند!,Jokainen lunastamasi etappi avaa seuraavan!,Chaque palier récupéré en débloque un autre !,Klaim item untuk membuka tahap selanjutnya!,Ogni offerta che ritiri sblocca la seguente!,回収するたびに次のアイテムがアンロック！,아이템을 받을 때마다 다음 단계가 잠금 해제됩니다!,Setiap item dituntut akan membuka peringkat seterusnya!,"Met elke stap die je claimt, ontgrendel je de volgende!","For hvert trinn du innkasserer, låses det opp et nytt!",Cada nível desbloqueado libera o próximo!,"Получив награды за этап, вы разблокируете следующий!",ไอเท็มแต่ละขั้นที่คุณกดรับจะปลดล็อคขั้นต่อไป!,Ulaştığınız her adım bir sonrakini açar!,"Sau khi nhận vật phẩm ở một bậc, bạn sẽ mở khóa bậc tiếp theo!",Każdy odebrany etap odblokowuje kolejny.
TID_OFFER_TITLE_BUILDERREFRESH,Builder Refresh,دعم البنّاء,建筑工人加速,建築工人加速,Bauarbeiterauffrischung,Alijo del constructor,تازه‌سازی سازنده,Rakentajan virkistyshetki,Rafraîchissement ouvrier,Tukang Sehat,Tonico del costruttore,大工のリフレッシュ,장인 리프레시,Segar Semula Pembina,Frisse bouwvakker,Byggeroppdatering,Construindo sem parar,Бодрость строителя,ช่างก่อสร้างรีเฟรช,İnşaatçı Yenilemesi,Nước tăng lực cho thợ xây,Budowniczy jak nowy
TID_OFFER_DESC_BUILDERREFRESH2,"This Clash Store exclusive offer provides an extra supply of Builder Potions, refreshing every other day throughout the duration of Hammer Jam! Happy building!",يقدم هذا العرض الحصري من محل Clash of Clans إمدادات إضافية من جرعات البنّاء، تتجدد كل يومين طوال مدة Hammer Jam. استمتع ببناء سعيد!,该部落冲突商城专属特惠提供额外的建筑工人药水。整个夯木节期间，该特惠每隔一天刷新一次！建造快乐！,該部落衝突商店專屬特惠提供額外的建築工人藥水。整個狂歡升級嘉年華期間，該特惠每隔一天刷新一次！快樂建造！,"Dieses exklusive Clash Store-Angebot versorgt dich mit einem zusätzlichen Vorrat an Bauarbeitertränken, der während der gesamten Hammerparty jeden zweiten Tag aufgefrischt wird! Fröhliches Bauen!","Consigue un suministro extra de pócimas del constructor gracias a esta oferta exclusiva del Store de Clash of Clans, que se renueva cada dos días durante toda la Martillomanía. ¡Hora de ponerse manos a la obra!",این پیشنهاد انحصاری فروشگاه Clash یک منبع اضافی از معجون‌های سازنده را فراهم می‌کند که یک‌روز در میان در طول مدت رویداد «چکش‌کاری فشرده» تازه‌سازی می‌شود! ساختمان مبارک!,Tämä Clash of Clans -kaupan erikoistarjous sisältää ylimääräisiä rakentajan rohtoja. Se päivittyy joka toinen päivä Hammer Jam -tapahtuman ajan! Rakentamisen iloa!,Cette offre exclusive du Store Clash apporte plus de potions de l'ouvrier et se réinitialise tous les deux jours pendant la Convention des marteaux ! Bonne construction !,Penawaran eksklusif Lapak Clash of Clans ini akan menawarkan suplai ekstra Ramuan Tukang yang akan disegarkan setiap dua hari selama Hammer Jam berlangsung! Ayo membangun!,"Fai scorta di pozioni del costruttore con questa offerta esclusiva dello Store di Clash, che si rinnova ogni due giorni per tutta la durata dell'evento ''Qui si batte chiodo''. Buon lavoro!",このクラッシュストア限定セールでは大工ポーションが追加で手に入ります。建設ラッシュ中、セールは2日ごとに更新されます！ハッピー建設ライフ！,이 클래시 스토어 한정 특별 상품은 장인 포션을 추가로 제공합니다. 해머잼 이벤트 동안 2일마다 특별 상품이 새로고침 됩니다! 즐거운 건물 건설되세요!,"Tawaran eksklusif Kedai Clash ini memberi bekala tambahan Posyen Pembina, segar semula setiap dua hari sepanjang tempoh Hammer Jam! Selamat membina!",Deze exclusieve aanbieding van de Clash Shop geeft je een extra voorraad bouwvakkersdrankjes die om de twee dagen wordt vernieuwd tijdens Hammer Jam! Veel plezier met bouwen!,Dette eksklusive tilbudet fra Clash-butikken gir deg ekstra forsyninger med byggerens drikk. Det oppdateres annenhver dag så lenge Hammer Jam varer! Kos deg med byggingen!,"Esta oferta exclusiva da loja do Clash concede poções do construtor extras, que são renovadas a cada dois dias durante a Martelofolia! Trabalhando feliz!",Эта эксклюзивная акция магазина Clash of Clans содержит дополнительные зелья строителя и будет обновляться каждый второй день на протяжении события Hammer Jam. Удачи со строительством!,ข้อเสนอพิเศษสโตร์ Clash นี้จะมอบน้ำยาช่างก่อสร้างเพิ่มให้อีกหนึ่งขวด โดยจะรีเฟรชทุกวันเว้นวันตลอดระยะเวลาของ Hammer Jam! ก่อสร้างแสนสุข!,"Clash mağazasına özel bu teklifte ekstra İnşaatçı İksirleri var. Ayrıca bu teklif, Çekiç Vakti boyunca iki günde bir yenileniyor! Keyifli inşaatlar dileriz!","Ưu đãi độc quyền này của Cửa hàng Clash sẽ cung cấp thêm nguồn Thuốc Thợ xây cho bạn, đồng thời, ưu đãi này sẽ được cập nhật hai ngày một lần trong suốt thời gian diễn ra sự kiện Hammer Jam! Xây dựng vui vẻ!",Ta ekskluzywna oferta w sklepie Clash zapewnia dodatkowe mikstury Budowniczego. Odświeża się co drugi dzień w czasie trwania Hammer Jam. Udanego budowania!
TID_OFFER_DESC_BUILDERREFRESH4,"This Clash Store exclusive offer provides an extra supply of Builder Potions, refreshing every four days throughout the duration of Hammer Jam! Happy building!",يقدم هذا العرض الحصري من محل Clash of Clans إمدادات إضافية من جرعات البنّاء، تتجدد كل أربعة أيام طوال مدة Hammer Jam. استمتع ببناء سعيد!,该部落冲突商城专属特惠提供额外的建筑工人药水。整个夯木节期间，该特惠每隔四天刷新一次！建造快乐！,該部落衝突商店專屬特惠提供額外的建築工人藥水。整個狂歡升級嘉年華期間，該特惠每隔四天刷新一次！快樂建造！,"Dieses exklusive Clash Store-Angebot versorgt dich mit einem zusätzlichen Vorrat an Bauarbeitertränken, der während der gesamten Hammerparty jeden vierten Tag aufgefrischt wird! Fröhliches Bauen!","Consigue un suministro extra de pócimas del constructor gracias a esta oferta exclusiva del Store de Clash of Clans, que se renueva cada cuatro días durante toda la Martillomanía. ¡Hora de ponerse manos a la obra!",این پیشنهاد انحصاری فروشگاه Clash یک منبع اضافی از معجون‌های سازنده را فراهم می‌کند که هر چهار روز در طول مدت رویداد «چکش‌کاری فشرده» تازه‌سازی می‌شود! ساختمان مبارک!,Tämä Clash of Clans -kaupan erikoistarjous sisältää ylimääräisiä rakentajan rohtoja. Se päivittyy neljän päivän välein Hammer Jam -tapahtuman ajan! Rakentamisen iloa!,Cette offre exclusive du Store Clash apporte plus de potions de l'ouvrier et se réinitialise tous les quatre jours pendant la Convention des marteaux ! Bonne construction !,Penawaran eksklusif Lapak Clash of Clans ini akan menawarkan suplai ekstra Ramuan Tukang yang akan disegarkan setiap empat hari selama Hammer Jam berlangsung! Ayo membangun!,"Fai scorta di pozioni del costruttore con questa offerta esclusiva dello Store di Clash, che si rinnova ogni quattro giorni per tutta la durata dell'evento ''Qui si batte chiodo''. Buon lavoro!",このクラッシュストア限定セールでは大工ポーションが追加で手に入ります。建設ラッシュ中、セールは4日ごとに更新されます！ハッピー建設ライフ！,이 클래시 스토어 한정 특별 상품은 장인 포션을 추가로 제공합니다. 해머잼 이벤트 동안 4일마다 특별 상품이 새로고침 됩니다! 즐거운 건물 건설되세요!,"Tawaran eksklusif Kedai Clash ini memberi bekala tambahan Posyen Pembina, segar semula setiap empat hari sepanjang tempoh Hammer Jam! Selamat membina!",Deze exclusieve aanbieding van de Clash Shop geeft je een extra voorraad bouwvakkersdrankjes die om de vier dagen wordt vernieuwd tijdens Hammer Jam! Veel plezier met bouwen!,Dette eksklusive tilbudet fra Clash-butikken gir deg ekstra forsyninger med byggerens drikk. Det oppdateres hver fjerde dag så lenge Hammer Jam varer! Kos deg med byggingen!,"Esta oferta exclusiva da loja do Clash concede poções do construtor extras, que são renovadas a cada quatro dias durante a Martelofolia! Trabalhando feliz!",Эта эксклюзивная акция магазина Clash of Clans содержит дополнительные зелья строителя и будет обновляться каждые четыре дня на протяжении события Hammer Jam. Удачи со строительством!,ข้อเสนอพิเศษสโตร์ Clash นี้จะมอบน้ำยาช่างก่อสร้างเพิ่มให้อีกหนึ่งขวด โดยจะรีเฟรชทุกสี่วันตลอดระยะเวลาของ Hammer Jam! ก่อสร้างแสนสุข!,"Clash mağazasına özel bu teklifte ekstra İnşaatçı İksirleri var. Ayrıca bu teklif, Çekiç Vakti boyunca dört günde bir yenileniyor! Keyifli inşaatlar dileriz!","Ưu đãi độc quyền này của Cửa hàng Clash sẽ cung cấp thêm nguồn Thuốc Thợ xây cho bạn, đồng thời, ưu đãi này sẽ được cập nhật bốn ngày một lần trong suốt thời gian diễn ra sự kiện Hammer Jam! Xây dựng vui vẻ!",Ta ekskluzywna oferta w sklepie Clash zapewnia dodatkowe mikstury Budowniczego. Odświeża się co cztery dni w czasie trwania Hammer Jam. Udanego budowania!
TID_OFFER_TITLE_CHIEFBARGAIN,Chief's Bargain,صفقة الزعيم,首领特价,首領特價,Häuptlingsangebot,Ganga del jefe,تخفیف رئیس,Päällikön tarjous,Aubaine du chef,Penawaran untuk Sang Chief,Offerta del capo,チーフのバーゲン,대장님의 할인,Tawaran Ketua,Chiefs koopje,Høvdingens kupp,Barganha de chefe,Выгода вождя,การต่อรองของหัวหน้า,Şefin İndirimi,Giá ưu đãi cho Chỉ huy,Okazja dla Wodza
TID_OFFER_TITLE_SWEETPRICE,Sweet Price,السعر الممتاز,真香特惠,真香特惠,Schnäppchenpreis,Oferta suculenta,قیمت دلچسب,Pientä hyvää,Prix doux,Harga Manis,Offerta invitante,甘い割引,달콤한 가격,Harga Hebat,Scherpe prijs,Søt pris,Precinho camarada,Приятная цена,ราคาหวานฉ่ำ,Güzel Fiyat,Giá rẻ bất ngờ,Wymarzona cena
TID_OFFER_TITLE_MINIDEAL,Mini Deal,الصفقة الصغيرة,迷你折扣,迷你折扣,Minideal,Minioferta,معامله کوچک,Minidiili,Mini prix,Penawaran Mini,Miniofferta,ミニセール,미니 특가,Tawaran Mini,Mini-deal,Minitilbud,Minioferta,Мини-выгода,มินิดีล,Mini Teklif,Ưu đãi nhỏ,Miniokazja
TID_OFFER_TITLE_MIGHTYVALUE,Mighty Value,القيمة العظيمة,超值优惠,超值優惠,Mega-Wertvorteil,Superoferta,ارزش فوق‌العاده,Huippuarvo,Inestimable,Untung Perkasa,Grande occasione,超ド級特価,마이티 가성비,Nilai Besar,Machtig voordeel,Stort tilbud,Mega em conta,Серьезная выгода,คุ้มค่าสุดพลัง,Harika Fırsat,Giá trị khủng,Megaokazja
TID_OFFER_TITLE_GIGASAVER,Giga Saver,التوفير الضخم,惊喜钜惠,驚喜鉅惠,Gigantisches Sparangebot,Megaoferta,صرفه‌جویی خفن,Pelkkää säästöä,Giga affaire,Hemat Giga,Superoccasione,ギガセール,기가 세이버,Penjimat Giga,Giga-deal,Gigasparing,Economia gigante,Мегавыгода,คุ้มสุดยอด,Büyük Kazanç,Siêu tiết kiệm,Oszczędzanie pełną parą
TID_OFFER_TITLE_GIANTDEAL,Giant Deal,الصفقة العملاقة,超级钜惠,超級鉅惠,Riesendeal,Oferta colosal,اَبَرمعامله,Jättidiili,Grosse aubaine,Penawaran Raksasa,Affarone,ジャイアントセール,자이언트 핫딜,Tawaran Gergasi,Reuzendeal,Giganttilbud,Oferta gigantesca,Гигавыгода,ดีลยักษ์,Dev Teklif,Ưu đãi khủng,Megaoferta
TID_OFFER_TITLE_SHORTSHIFT,Short Shift,المناوبة القصيرة,省时助力,省時省力,Schnelleres Bauen,Construcción acelerada,شیفت کوتاه,Pikavuoro,Heures sup,Shift Pendek,Costruzioni accelerate,アップグレードのススメ,적은 노동,Pembinaan Laju,Snelle klus,Kort skift,Construção ligeira,Ударная смена,กะสั้น,Kolay Yükseltme,Ca làm việc ngắn,Szybka zmiana
TID_OFFER_TITLE_BUILDERSDELIGHT,Builder's Delight,فرحة البنّاء,建造之乐,建造之樂,Bauarbeiterfreude,Sueño del constructor,سرخوشی سازنده,Rakentajan riemu,Ouvriers actifs,Kegembiraan Tukang,Costruttori all'opera,大工のねぎらい,장인의 보람,Kegembiraan Pembina,Bouwgenot,Byggerens fryd,Alegria de construtor,Радость строителя,ความสุขของช่างก่อสร้าง,İnşaatçının Keyfi,Niềm vui của Thợ xây,Zachwycenie Budowniczego
TID_OFFER_TITLE_TROOPTOPUP,Troop Top Up,تعبئة القوات,战力升级,戰力升級,Truppenverbesserung,Tropas talentosas,تجدید قوای نیروها,Joukkojuhlat,Cours du soir,Bangun Ulang Peleton,Aiuti alle truppe,ユニットフィーバー,유닛 강화,Peningkatan Askar,Troepenboost,Troppepåfyll,Trazendo tropas,Продвижение по службе,เติมกองทัพ,Birlik Fırsatı,Nâng cấp binh lính,Doładowanie oddziałów
TID_OFFER_TITLE_ARMYASSISTER,Army Assister,دعم الجيش,军队助手,軍隊助手,Armee-Assistenz,Asistencia militar,ارتش‌یار,Armeijan avustaja,Coach personnel,Bala Bantuan Tentara,Assistenza militare,部隊応援セール,군대 보조,Bantuan Tentera,Legerversterking,Hærassistent,Assistência militar,Армейская поставка,ผู้ช่วยกองทัพ,Ordu Geliştirme,Hỗ trợ đội quân,Wspomaganie wojska
TID_OFFER_TITLE_SPELLITOUT,Spell It Out,فورة التعويذات,法术狂欢,法術狂歡,Zauberhaft,Oferta hechizante,طلسم زبان بشکن,Loitsulinko,Sort-is de nulle part,Koleksi Mantra,Offerta incantevole,スペルフィーバー,마법 강화,Sumber Sihir,Spreuksupplement,Formel 1,Esbanjando feitiços,Сильная магия,ร่ายอาคม,Büyü Fırsatı,Nâng cấp Thần chú,Zaklinanie
TID_OFFER_TITLE_QUICKBREW,Quick Brew,التحضير السريع,法力大增,法力大增,Schnelleres Brauen,Oferta mágica,معجون سریع,Pikapullo,Chaudron dernier cri,Ramuan Kilat,Offerta magica,呪文のススメ,빠른 제조,Bru Panas,Gauw gebrouwen,Hurtigdrikk,Feitiço a jato,Волшебная скороварка,อาคมสูตรปุรงด่วน,Hızlı Üretim,Luyện chú nhanh,Szybki wywar
TID_OFFER_TITLE_HEROICFORCE,Heroic Force,القوة البطولية,英雄之力,英雄之力,Heldenkraft,Fuerza heroica,نیروی قهرمانانه,Sankarien voima,Force héroïque,Kekuatan Heroik,Potere agli eroi,英雄の力,영웅적인 힘,Kekuatan Wira,Heldenkracht,Heroisk styrke,Força heroica,Героическая сила,พลังแห่งผู้กล้า,Kahraman Gücü,Lực lượng anh hùng,Heroiczna siła
TID_OFFER_TITLE_HEROHELPER,Hero Helper,مساعد الأبطال,英雄强援,英雄強援,Heldenhelfer,Ayuda heroica,یاور قهرمان,Sankarien avustaja,Assistant de héros,Pendamping Pahlawan,Assistenza eroica,ヒーローヘルパー,영웅 도우미,Pembantu Wira,Heldenhulp,Heltehjelper,Empurrão herói,Помощь героям,ผู้ช่วยผู้กล้า,Kahraman Fırsatı,Hỗ trợ Tướng,Pomocnik herosa
TID_OFFER_TITLE_SWEETTREATS,Sweet Treats,المكافآت اللذيذة,香甜点心,香甜點心,Köstliche Leckerlis,Compañero fiel,خوراکی‌های شیرین,Herkkukori,Friandises,Kudapan Manis,Un famiglio per amico,スイート・スイーツ,달콤한 간식,Kudapan Manis,Zoete traktaties,Søte godsaker,Petisco pros pets,Вкусное угощение,ขนมหอมหวาน,Leziz Mamalar,Ưu đãi ngọt ngào,Słodkości
TID_OFFER_TITLE_PETPLUS,Pet Plus,تغذية الحيوانات,进阶战宠,進階戰寵,Begleiter Plus,Amistad animal,ارتقای حیوان خانگی,Lemmikkilisä,Donne la patte,Layanan Hewan,Famigli alla riscossa,ペットプラス,펫 플러스,Peningkatan Haiwan,Dierenboost,Kjæledyr+,Mais animais,Все для компаньонов,สัตว์เลี้ยงเสริมพลัง,Hayvan Fırsatı,Nâng cấp Linh thú,Ekstra pupil
TID_OFFER_TITLE_FULLYEQUIPPED,Fully Equipped,مجهز بالكامل,全副武装,全副武裝,Voll ausgestattet,Equipados hasta los dientes,کاملاً مجهز,Täysi varustus,Tout équipé,Perlengkapan Lengkap,Equipaggiati fino ai denti,完全完璧装備,완전 무장,Pelengkapan Penuh,Volledig uitgerust,Fullt utrustet,Equipamento completo,Полная экипировка,อุปกรณ์จัดเต็ม,Ekipman Teklifi,Trang bị đầy đủ,Pełne wyposażenie
TID_OFFER_TITLE_BUSYBLACKSMITH,Busy Blacksmith,الحداد المتفاني,忙碌铁匠,忙碌鐵匠,Deines Glückes Schmied,Herrería próspera,آهنگر تلاش‌گر,Ahkera ahjo,Fou de la forge,Pandai Besi Pandai,Fabbro laborioso,鍛冶屋の大繁盛,바쁜 대장간,Tukang Besi Sibuk,Drukbezette smid,Travel smed,Ferreiro atarefado,Сырье для плавильни,ช่างตีเหล็กแสนยุ่ง,Demirci Fırsatı,Lò rèn bận rộn,Zapracowany kowal
TID_OFFER_TITLE_HANDFULOFGEMS,Handful of Gems,حفنة جواهر,一把宝石,一把寶石,Handvoll Juwelen,Puñado de gemas,یک مشت جواهر,Kourallinen jalokiviä,Poignée de gemmes,Segenggam Permata,Manciata di gemme,少量のエメラルド,보석 한 줌,Saku Penuh Permata,Handjevol edelstenen,En håndfull juveler,Punhado de gemas,Горка кристаллов,อัญมณีหนึ่งกำ,Avuç Dolusu Taş,Một ít Ngọc,Garstka klejnotów
TID_OFFER_TITLE_GEMSFRIENDS,Gems & Friends,الجواهر والأصدقاء,宝石与好友,寶石與好友,Juwelen und Co.,Gemas y compañía,جواهر و دوستان,Jalokiviä ynnä muuta,Des amis et des gemmes,Permata dan Teman,Gemme e altri preziosi,エメラルドと仲間たち,보석과 친구들,Permata & Rakan,Edelstenen en zo,Juveler og venner,Gemas e mais,Кристаллы и компания,อัญมณีและสหาย,Taşlar ve Arkadaşlar,Ngọc và các vật phẩm khác,Klejnoty i przyjaciele
TID_OFFER_TITLE_GEMSGALORE,Gems Galore,بحر الجواهر,宝石盛宴,寶石盛宴,Juwelenüberfluss,Gemas por doquier,یه عالمه جواهر,Järjettömästi jalokiviä,Gemmes à gogo,Mandi Permata,Gemme in quantità,エメラルドパーティー,넘쳐나는 보석,Permata Berlambak,Edelstenen in overvloed,Juvelbonanza,Montão de gemas,Горы кристаллов,ขุมทรัพย์อัญมณี,Taş Havuzu,Rất nhiều Ngọc,Szaleństwo klejnotów
TID_OFFER_TITLE_FIRSTSTEPS,First Steps,الخطوات الأولى,初玩特惠,歡迎特惠,Erste Schritte,Primeros pasos,اولین گام‌ها,Ensiaskeleet,Premiers pas,Langkah Pertama,Primi passi,最初の一歩,첫걸음,Langkah Pertama,Eerste stapjes,Første skritt,Empurrão inicial,Первые шаги,ก้าวแรก,İlk Adımlar,Những bước đầu tiên,Pierwsze kroki
TID_OFFER_TITLE_BEGINNERBUNDLE,Beginner Bundle,باقة المبتدئين,新手礼包,新手特惠包,Einsteigerbundle,Lote para principiantes,بسته ترکیبی مبتدیان,Aloittelijan paketti,Lot débutant,Bundel Pemula,Bundle del principiante,ビギナーズセット,초보자 번들,Pakej Pemula,Beginnersbundel,Begynnerbundel,Pacote do iniciante,Начальный набор,แพ็คผู้เริ่มต้น,Yeni Oyuncu Özel,Gói cho người mới bắt đầu,Pakiet na start
TID_OFFER_TITLE_EARLYBIRD,Early Bird,اللاعب النشيط,初阶礼包,初階特惠包,Früher Vogel,Oferta inicial,سحرخیز,Aikainen lintu,Départ en trombe,Fondasi Awal,Offerta del giocatore in erba,新米チーフセール,얼리버드,Pembelian Awal,Vroege vogel,Morgenfugl,Começando bem,Ранняя пташка,เริ่มก่อนได้ก่อน,İlk Aşamalar,Ưu đãi khởi động,Ranny ptaszek
TID_OFFER_TITLE_GETAHEAD,Get Ahead,تقدم للأمام,抢先一步,搶先一步,Durchstarten,Primer impulso,جلو زدن,Spurtti,Longueur d'avance,Paket Keunggulan,Diamoci da fare!,スタートダッシュセール,빠른 진행,Permulaan Baik,Stapje voor,Få et forsprang,Melhorando mais,Рывок вперед,เดินหน้า,Hızlı İlerleme,Tiến lên phía trước,Zdobądź przewagę
TID_OFFER_TITLE_BUILD MEUP,Build Me Up,البناء والتعمير,基地助力,基地建造,Darauf kannst du bauen,Ofertón de construcción,من را بساز,Rakenna reilusti,As du chantier,Mari Membangun,Costruzioni a più non posso,大工の拠点セール,짓고 또 짓고,Aktiviti Pembinaan,Bouwkoorts,Bygg i vei,Construindo a base,Стройка века,สร้างให้มั่น,İnşaat Teklifi,Xây dựng căn cứ,Podbuduj mnie
TID_OFFER_TITLE_BUILDERBASEBARGAIN,Builder Base Bargain,صفقة قاعدة البنّاء,建筑大师基地特惠,建築大師基地特惠,Bauarbeiterbasis-Deal,Ganga de la base del constructor,تخفیف پایگاه سازنده,Rakentajan tukikohdan tarjous,Bonne affaire ouvrière,Diskon Basis Tukang,Affare della base del costruttore,大工の拠点バーゲン,장인기지 할인,Tawaran Pangkalan Pembina,Bouwersbasis-buitenkans,Byggerens base-kupp,Oferta da base do construtor,Все для деревни строителя,ส่วนลดฐานช่างก่อสร้าง,İnşaatçı Üssü Fırsatı,Ưu đãi cho Căn cứ Thợ xây,Okazja Bazy Budowniczego
TID_OFFER_TITLE_EXTRAHANDS,Extra Hands,الأيادي الإضافية,人手多多,人手多多,Extrahände,Mano de obra adicional,دست‌های اضافی,Ylimääräiset käsiparit,Équipe de choc,Pekerja Tambahan,Forza lavoro extra,人員補強,늘어난 일손,Bantuan Tambahan,Extra handen,Ekstrahjelp,Mãos a mais,Дополнительные руки,ผู้ช่วยเหลือพิเศษ,Ek Yardım,Thêm người hỗ trợ,Ekstra ręce
TID_OFFER_TITLE_HYPERHERO,Hyper Hero,البطل المتحمس,超级英雄,超級英雄,Sagenhaft Heldenhaft,Oferta heroica,هایپر قهرمان,Hypersankari,Aubaine héroïque,Pahlawan Super,Offerta eroica,ハイパーヒーロー,하이퍼 영웅,Tokoh Wira,Hyperheld,Hyperhelt,Hiper-herói,Гипергеройская акция,ผู้กล้าไฮเปอร์,Kahraman Teklifi,Siêu ưu đãi cho Tướng,Hiperheros
TID_OFFER_TITLE_RAWPOWER,Raw Power!,القوة الخالصة,原始力量！,原始力量！,Rohe Power!,¡Poder sin igual!,قدرت ناآزموده!,Raakaa voimaa!,Puissance brute !,Kekuatan!,Una marcia in più!,あふれ出るパワー！,놀라운 혜택!,Demi Kuasa!,Pure power!,Rå kraft!,Puro poder!,Выгодно!,พลังเถื่อน!,Gücüne Güç Kat!,Sức mạnh nguyên thủy!,Czysta moc!
TID_OFFER_TITLE_THEREALDEAL,The Real Deal! ,المكسب الحقيقي ,绝对超值！,絕對超值！,Einzigartiges Angebot! ,¡Una oferta increíble! ,معامله واقعی! ,Mikä diili! ,L'affaire du siècle ! ,Paling Untung!,Superconvenienza! ,超お得！,최고의 핫딜! ,Tawaran Sebenar! ,Het echte werk! ,Et uslåelig tilbud! ,Melhor oferta! ,Ценная акция! ,ดีลจริงไม่มีหลอก! ,Güzel Teklif! ,Ưu đãi cực hấp dẫn! ,Prawdziwa okazja! 
